SRC,Security_ID,Description,G_Ticker,Y_Ticker
GF,ADA100101,Adani Enterprises Limited,ADANIENT:NSE,Dummy
YF,ADA100202,Adani Green Energy Limited,ADANIGREEN:NSE,ADANIGREEN.NS
YF,ADA100303,Adani Ports and Special Economic Zone Limited,ADANIPORTS:NSE,ADANIPORTS.NS
YF,ADA100404,Adani Transmission Limited,ADANITRANS:NSE,ADANITRANS.NS
YF,AMB100505,Ambuja Cements Limited,AMBUJACEM:NSE,AMBUJACEM.NS
YF,ASH100606,Ashok Leyland Limited,ASHOKLEY:NSE,ASHOKLEY.NS
YF,ASI100707,Asian Paints Limited,ASIANPAINT:NSE,ASIANPAINT.NS
GF,AUB100808,AU Small Finance Bank Limited,AUBANK:NSE,Dummy
YF,AXI111010,Axis Bank Limited,AXISBANK:NSE,AXISBANK.NS
YF,BAJ111111,Bajaj Auto Limited,BAJAJ-AUTO:NSE,BAJAJ-AUTO.NS
YF,BAJ111212,Bajaj Finance Limited,BAJFINANCE:NSE,BAJFINANCE.NS
YF,BAJ111313,Bajaj Finserv Limited,BAJFINANCE:NSE,BAJAJFINSV.NS
GF,BAL111414,Balkrishna Industries Limited,BALKRISIND:NSE,Dummy
GF,BAN111515,Bandhan Bank Limited,BANDHANBNK:NSE,Dummy
YF,BAN111616,Bank of Baroda,BANKBARODA:NSE,BANKBARODA.NS
GF,BEL111717,Bharat Electronics Limited,BEL:NSE,Dummy
YF,BHA111919,Bharti Airtel Limited,BHARTIARTL:NSE,BHARTIARTL.NS
GF,BIO122020,Biocon Limited,BIOCON:NSE,Dummy
YF,BOS122121,Bosch Limited,BOSCHLTD:NSE,BOSCHLTD.NS
YF,BPC111818,Bharat Petroleum Corporation Limited,BPCL:NSE,BPCL.NS
YF,BRI122222,Britannia Industries Limited,BRITANNIA:NSE,BRITANNIA.NS
GF,CHO122323,Cholamandalam Investment and Finance Company Limited,CHOLAFIN:NSE,Dummy
YF,CIP122424,Cipla Limited,CIPLA:NSE,CIPLA.NS
YF,COA122525,Coal India Limited,COALINDIA:NSE,COALINDIA.NS
YF,COL122626,Colgate-Palmolive (India) Limited,COLPAL:NSE,COLPAL.NS
GF,CON122727,Container Corporation of India Limited,CONCOR:NSE,Dummy
GF,CUM122828,Cummins India Limited,CUMMINSIND:NSE,Dummy
YF,DAB122929,Dabur India Limited,DABUR:NSE,DABUR.NS
YF,DIV133030,Divis Laboratories Limited,DIVISLAB:NSE,DIVISLAB.NS
GF,DLF133131,DLF Limited,DLF:NSE,Dummy
YF,DMA100909,Avenue Supermarts Limited,DMART:NSE,DMART.NS
YF,DRR133232,Dr. Reddys Laboratories Limited,DRREDDY:NSE,DRREDDY.NS
YF,EIC133333,Eicher Motors Limited,EICHERMOT:NSE,EICHERMOT.NS
YF,GAI133434,GAIL (India) Limited,GAIL:NSE,GAIL.NS
GF,GMR133535,GMR Infrastructure Limited,GMRINFRA:NSE,Dummy
YF,GOD133636,Godrej Consumer Products Limited,GODREJCP:NSE,GODREJCP.NS
YF,GRA133737,Grasim Industries Limited,GRASIM:NSE,GRASIM.NS
GF,HAV133838,Havells India Limited,HAVELLS:NSE,Dummy
YF,HCL133939,HCL Technologies Limited,HCLTECH:NSE,HCLTECH.NS
YF,HDF144040,HDFC Bank Limited,HDFCBANK:NSE,HDFCBANK.NS
GF,HDF144141,HDFC Limited,HDFC:NSE,Dummy
YF,HER144242,Hero MotoCorp Limited,HEROMOTOCO:NSE,HEROMOTOCO.NS
YF,HIN144343,Hindalco Industries Limited,HINDALCO:NSE,HINDALCO.NS
GF,HON144646,Honeywell Automation India Limited,HONAUT:NSE,Dummy
YF,HPC144444,Hindustan Petroleum Corporation Limited,HPCL:NSE,HPCL.NS
YF,HPC144545,Hindustan Unilever Limited,HPCL:NSE,HINDUNILVR.NS
YF,ICI144747,ICICI Bank Limited,ICICIBANK:NSE,ICICIBANK.NS
YF,ICI144848,ICICI Lombard General Insurance Company Limited,ICICIGI:NSE,ICICIGI.NS
YF,ICI144949,ICICI Prudential Life Insurance Company Limited,ICICIPRULI:NSE,ICICIPRULI.NS
GF,IGL155151,Indraprastha Gas Limited,IGL:NSE,Dummy
YF,IND155252,IndusInd Bank Limited,INDUSINDBK:NSE,INDUSINDBK.NS
YF,IND155454,InterGlobe Aviation Limited,INDIGO:NSE,INDIGO.NS
GF,INF155353,Infosys Limited,INFY:NSE,Dummy
YF,IOC155050,Indian Oil Corporation Limited,IOC:NSE,IOC.NS
YF,ITC155555,ITC Limited,ITC:NSE,ITC.NS
YF,JSW155656,JSW Steel Limited,JSWSTEEL:NSE,JSWSTEEL.NS
YF,JUB155757,Jubilant FoodWorks Limited,JUBLFOOD:NSE,JUBLFOOD.NS
YF,KOT155858,Kotak Mahindra Bank Limited,KOTAKBANK:NSE,KOTAKBANK.NS
YF,LAT166060,Larsen & Toubro Limited,Dummy,LT.NS
YF,LTT155959,L&T Technology Services Limited,LTTS:NSE,LTTS.NS
YF,LUP166161,Lupin Limited,LUPIN:NSE,LUPIN.NS
YF,MAM166363,Mahindra & Mahindra Limited,Dummy,M&M.NS
GF,MAR166464,Marico Limited,MARICO:NSE,Dummy
YF,MAR166565,Maruti Suzuki India Limited,MARUTI:NSE,MARUTI.NS
YF,MGL166262,Mahanagar Gas Limited,MGL:NSE,MGL.NS
GF,MIN166666,Mindtree Limited,MINDTREE:NSE,Dummy
YF,MOT166767,Motherson Sumi Systems Limited,MOTHERSUMI:NSE,MOTHERSUMI.NS
GF,MPH166868,Mphasis Limited,MPHASIS:NSE,Dummy
GF,MUT166969,Muthoot Finance Limited,MUTHOOTFIN:NSE,Dummy
YF,NES177070,Nestle India Limited,NESTLEIND:NSE,NESTLEIND.NS
GF,NMD177171,NMDC Limited,NMDC:NSE,Dummy
GF,NTP177272,NTPC Limited,NTPC:NSE,Dummy
GF,OFS177373,Oracle Financial Services Software Limited,OFSS:NSE,Dummy
YF,PAG177474,Page Industries Limited,PAGEIND:NSE,PAGEIND.NS
YF,PEL177777,Piramal Enterprises Limited,PEL:NSE,PEL.NS
YF,PET177575,Petronet LNG Limited,PETRONET:NSE,PETRONET.NS
YF,PID177676,Pidilite Industries Limited,PIDILITIND:NSE,PIDILITIND.NS
YF,POW177878,Power Grid Corporation of India Limited,POWERGRID:NSE,POWERGRID.NS
GF,PVR177979,PVR Limited,PVR:NSE,Dummy
YF,REL188080,Reliance Industries Limited,RELIANCE:NSE,RELIANCE.NS
GF,SBI188181,SBI Cards and Payment Services Limited,SBICARD:NSE,Dummy
YF,SBI188282,SBI Life Insurance Company Limited,SBILIFE:NSE,SBILIFE.NS
YF,SBI188787,State Bank of India,SBIN:NSE,SBIN.NS
YF,SHR188484,Shree Cement Limited,SHREECEM:NSE,SHREECEM.NS
GF,SIE188585,Siemens Limited,SIEMENS:NSE,Dummy
YF,SRF188686,SRF Limited,SRF:NSE,SRF.NS
YF,SUN188888,Sun Pharmaceutical Industries Limited,SUNPHARMA:NSE,SUNPHARMA.NS
YF,TAT199090,Tata Motors Limited,TATAMOTORS:NSE,TATAMOTORS.NS
YF,TAT199191,Tata Steel Limited,TATASTEEL:NSE,TATASTEEL.NS
YF,TCS188989,Tata Consultancy Services Limited,TCS:NSE,TCS.NS
YF,TEC199292,Tech Mahindra Limited,TECHM:NSE,TECHM.NS
YF,TIT199393,Titan Company Limited,TITAN:NSE,TITAN.NS
YF,TOR199494,Torrent Pharmaceuticals Limited,TORNTPHARM:NSE,TORNTPHARM.NS
GF,TVS199595,TVS Motor Company Limited,TVSMOTOR:NSE,Dummy
GF,UBL199797,United Breweries Limited,UBL:NSE,Dummy
YF,ULT199696,UltraTech Cement Limited,ULTRACEMCO:NSE,ULTRACEMCO.NS
YF,UPL199898,UPL Limited,UPL:NSE,UPL.NS
YF,VOL199999,Voltas Limited,VOLTAS:NSE,VOLTAS.NS
YF,WIP200000,Wipro Limited,WIPRO:NSE,WIPRO.NS
YF,ZEE200101,Zee Entertainment Enterprises Limited,ZEEL:NSE,ZEEL.NS
